Table No. 21,Thriller/Drama,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tena Desae[43]",A
Rajdhani Express,Drama/Thriller,Ashok Kohli,"Leander Paes, Jimmy Shergill, Priyanshu Chatterjee, Pooja Bose[44]",U/A
Dehraadun Diary,Thriller,Milind Ukey,"Adhyayan Suman, Rohit Bakshi, Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri[45]",U/A
Meri Shadi Karao,Comedy,Syed Noor,Gurdeep Singh Mehndi[46],U
Matru Ki Bijlee Ka Mandola,Comedy,Vishal Bharadwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur[47]",U/A
Pyaar Mein Aisa Hota Hai,Thriller,Rajeesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma[48]",U/A
Gangoobai,Drama,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht[49]",U/A
Inkaar,Romance/Crime,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Gaurav Dwivedi[50]",U/A
Mumbai Mirror,Action,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj[51]",U/A
Bandook,Crime,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan[52]",A
Race 2,Action/Thriller,Abbas-Mustan,"Saif Ali Khan, Deepika Padukone, John Abraham, Jacqueline Fernandez, Anil Kapoor,Ameesha Patel[53]",U/A
Akaash Vani,Romance/Comedy,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha[54]",U/A
,,,,
Main Krishna Hoon,Animation/Musical,Rajiv S. Ruia,"Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Hrithik Roshan, Katrina Kaif[55]",U
David,Crime,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu[56]",U/A
Vishwaroop,Action,Kamal Hassan,"Kamal Hassan, Pooja Kumar, Shekhar Kapur, Andrea Jeremiah, Rahul Bose[57]",U/A
Mai...,Drama/Family,Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure[58]",U
Listen... Amaya,Drama,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar[59]",U
Deewana Main Deewana,Romance,K.C. Bokadia,"Govinda, Priyanka Chopra, Johnny Lever, Prem Chopra",U/A
Special 26,Drama/Comedy,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Shergill[60]",U/A
ABCD – Any Body Can Dance,Dance,Remo D'Souza,"Prabhu Deva, Kay Kay Menon, Lauren Gottlieb, Dharmesh Yelande, Mayuresh Wadkar[61]",U/A
The Unsound,Thriller,Alok Shrivastava,"Shadaab Khan, Anurita Jha [62]",U/A
Jayantabhai Ki Luv Story,Comedy/Romance,Vinnil Markan,"Vivek Oberoi, Neha Sharma[63]",U/A
Murder 3,Thriller,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Mona Lizza[64]",U/A
Kai Po Che!,Drama,Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri[65]",U
Zilla Ghaziabad,Action,Anand Kumar,"Arshad Warsi, Vivek Oberoi,Harsh Raj Gond, Sanjay Dutt, Minissha Lamba, Ravi Kishan,Paresh Rawal[66]",A
"I, Me, aur Main",Romantic comedy,Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh[67]",U/A
The Attacks of 26/11,Crime/Thriller,Ram Gopal Varma,"Nana Patekar, Sanjeev Jaiswal, Atul Kulkarni, Ganesh Yadav, Farzad Jehani",A
Bloody Isshq,Romance/Thriller,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar[68]",U/A
